text,label
The BBC “admitted” that HIV was added to the Covid-19 vaccine.,"THE BBC WAS REPORTING ON A TRIAL VACCINE THAT CONTAINED AN HIV PROTEIN, NOT THE VIRUS ITSELF, AND WHICH WAS NEVER ROLLED OUT TO THE PUBLIC."
What is chlorine dioxide and is it a safe effective cure for health covid autism,TOXIC CHEMICAL
Covid-19 does not exist.,"FALSE. COVID-19 IS A REAL DISEASE CAUSED BY THE SARS-COV-2 VIRUS, WHICH HAS BEEN ISOLATED MANY TIMES."
2021 video of corpses floating in Ganga during COVID-19 pandemic falsely shared in name of Maha Kumbh Mela 2025 in Prayagraj,MISLEADING
Podcaster Ranveer Allahbadia’s 3-year-old video from COVID times falsely shared as recent after India’s Got Latent controversy; details inside,MISLEADING
Pfizer releases new list of its COVID-19 vaccine side effects in 2025.,FALSE - THE CLAIM THAT PFIZER RELEASES NEW LIST OF ITS COVID-19 VACCINE SIDE EFFECTS IN 2025 IS FALSE; PFIZER’S 2021 DOCUMENT ONLY RECORDED REPORTED ADVERSE EVENTS DURING THE EARLY PHASE OF THE VACCINE’S EMERGENCY USE—NOT CONFIRMED SIDE EFFECTS.
Moderna’s CEO confessed to creating a COVID vaccine before the pandemic,FALSE
A vaccine safety body has recorded 20 times more COVID jab adverse reactions than the government’s Therapeutic Goods Administration.,MISLEADING. THE TWO REPORTING SYSTEMS USE DIFFERENT MEASURES TO GATHER DIFFERENT TYPES OF ADVERSE REACTION DATA. THEY ARE NOT COMPARABLE.
“Japan sounds alarm as heart failure surges among Covid-vaccinated”,INACCURATE
"“We brought that petition after CDC recommended COVID vaccine without any scientific basis for 6-year-old children.""",FALSE
